"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","54.21523312996456","4.721902677319062","-0.31197865973435573","0.043701171875","0.01708984375","0.0703125","1300","0.0001683030600309929","0","0.0001683030600309929","0.0001683030600309929","","","true"
"1","348.59363979673924","299.6408775894769","4.815134641050472","-0.3097440319777085","0.02294921875","0.0107421875","0.03515625","1300","0.00010648557565413504","0","0.00010648557565413504","0.00010648557565413504","1_0:0.004434610750419954","1_0:660","true"
"2","126.51988922865415","329.18814528244036","4.609656217102","-0.3090875180776862","0.01416015625","0.0126953125","0.015625","1300","0.00019218050560365933","0","0.00019218050560365933","0.00019218050560365933","2_1:0.006874913081226952","2_1:660","true"
"3","334.53092937288534","273.08982204228477","4.875544793836765","-0.30968652168552707","0.030517578125","0.015625","0.04541015625","1300","0.00018785147371438616","0","0.00018785147371438616","0.00018785147371438616","3_2:0.009500651518539016","3_2:660","true"
"4","266.08785595418874","308.5599414290339","4.818171606460125","-0.3103713081153928","0.017578125","0.01220703125","0.02294921875","1300","0.00010722286416622416","0","0.00010722286416622416","0.00010722286416622416","4_15:0.007226657659383573;4_3:0.004555606256248512;4_5:0.003611855670788644","4_15:660;4_3:660;4_5:660","true"
"5","225.67540407570323","218.69532509181926","4.734147294809622","-0.3114518235315779","0.012939453125","0.0087890625","0.01708984375","1300","0.00009963489046820814","0","0.00009963489046820814","0.00009963489046820814","","","true"
"6","188.21490047479566","88.47526944998796","4.8762616534145815","-0.30918835047116894","0.014404296875","0.00537109375","0.0234375","1300","0.00022384935199811396","0","0.00022384935199811396","0.00022384935199811396","6_5:0.005828060441727956;6_7:0.010393890088056412","6_5:660;6_7:660","true"
"7","305.1706883653607","230.68943905924905","4.967506205068967","-0.30745739300983294","0.018310546875","0.01708984375","0.01953125","1300","0.00046590241450223085","0","0.00046590241450223085","0.00046590241450223085","7_8:0.006970129159693472","7_8:660","true"
"8","389.3208323448404","241.4343412714544","4.902356609666396","-0.30837827664687645","0.02490234375","0.0205078125","0.029296875","1300","0.00015666284873571995","0","0.00015666284873571995","0.00015666284873571995","8_9:0.013398128414638277","8_9:660","true"
"9","351.12767986493793","103.24840782632947","4.987236832359987","-0.3080310587566364","0.009765625","0.0087890625","0.0107421875","1300","0.0005754006185422756","0","0.0005754006185422756","0.0005754006185422756","","","true"
"10","340.51221569134094","259.63678685497194","4.831526632902481","-0.3097434424405673","0.021728515625","0.0146484375","0.02880859375","1300","0.0001065384665751775","0","0.0001065384665751775","0.0001065384665751775","10_9:0.012974416492075536;10_11:0.00558144916793446","10_9:660;10_11:660","true"
"11","205.7224190331731","434.74928590199846","4.972384377890068","-0.307214316560019","0.15234375","0.13623046875","0.16845703125","1300","0.0002334931172529283","0","0.0002334931172529283","0.0002334931172529283","11_12:0.005265560341557618","11_12:660","true"
"12","344.7570066546986","190.3306815231824","4.936322733129823","-0.3079608272575031","0.021728515625","0.00927734375","0.0341796875","1300","0.00020397952664090294","0","0.00020397952664090294","0.00020397952664090294","12_17:0.00947664305562368","12_17:660","true"
"13","253.16726148132543","102.06589124269729","5.005805031453484","-0.3067650398842775","0.022216796875","0.0185546875","0.02587890625","1300","0.0002343586784928916","0","0.0002343586784928916","0.0002343586784928916","13_12:0.007262145642803308","13_12:660","true"
"14","255.6762813583318","125.44183940198548","4.903345893794462","-0.308419961199297","0.02490234375","0.01025390625","0.03955078125","1300","0.000238675029842184","0","0.000238675029842184","0.000238675029842184","14_0:0.006700984974809143;14_18:0.008756806010753015","14_0:660;14_18:660","true"
"15","304.941767605406","34.021142359981674","4.947902354688534","-0.308052427832017","0.010009765625","0.01318359375","0.0068359375","1300","0.0002924028561562322","0","0.0002924028561562322","0.0002924028561562322","15_22:0.008176506239950088","15_22:660","true"
"16","306.338847283214","14.940431635164058","4.960332290011339","-0.3076594514774509","0.013671875","0.0107421875","0.0166015625","1300","0.00015867057602400884","0","0.00015867057602400884","0.00015867057602400884","16_8:0.004958284248969713;16_26:0.027400917418537563","16_8:660;16_26:660","true"
"17","222.24434020186766","238.39621756593533","4.82081795726768","-0.30970435909943395","0.0107421875","0.01025390625","0.01123046875","1300","0.0003034481438391334","0","0.0003034481438391334","0.0003034481438391334","17_30:0.0064936981164074314","17_30:660","true"
"18","328.68272919853706","115.94160426007768","4.788131983886611","-0.31063598977187784","0.01806640625","0.015625","0.0205078125","1300","0.00034966611850473315","0","0.00034966611850473315","0.00034966611850473315","18_19:0.005913684260530738","18_19:660","true"
"19","288.1655424713118","134.65023472612035","4.747017068303384","-0.31072395279331844","0.01513671875","0.01025390625","0.02001953125","1300","0.00019296823043197855","0","0.00019296823043197855","0.00019296823043197855","","","true"
"20","205.82183123493158","350.5401049383586","4.862343954441019","-0.3090978906556921","0.035400390625","0.00927734375","0.0615234375","1300","0.00012581348508168457","0","0.00012581348508168457","0.00012581348508168457","20_33:0.05343137591023439;20_19:0.0046553179005844325","20_33:660;20_19:660","true"
"21","268.1204990918453","74.2438833269601","4.966491462486027","-0.30694839478531033","0.0078125","0.00927734375","0.00634765625","1300","0.0005348020178361052","0","0.0005348020178361052","0.0005348020178361052","21_20:0.007123639188154007;21_22:0.012930311813372342","21_20:660;21_22:660","true"
"22","277.0962430504157","178.422315766608","5.038183726073494","-0.3065535436677073","0.015380859375","0.00927734375","0.021484375","1300","0.000521911036168408","0","0.000521911036168408","0.000521911036168408","22_23:0.006464573063265644","22_23:660","true"
"23","329.2116414301762","216.32490397632995","4.844971763162721","-0.309395699354676","0.0126953125","0.01416015625","0.01123046875","1300","0.00021258181764944404","0","0.00021258181764944404","0.00021258181764944404","","","true"
"24","230.84873319825118","119.6171321492539","5.100796647846751","-0.3054983979252499","0.130615234375","0.01171875","0.24951171875","1300","0.00024263023666958844","0","0.00024263023666958844","0.00024263023666958844","24_23:0.004337968320984986;24_34:0.07022793310890624","24_23:660;24_34:660","true"
