"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","56.15568898730043","4.721902677319062","-0.31197865973435573","0.027587890625","0.02587890625","0.029296875","1300","0.0002079075843089033","0","0.0002079075843089033","0.0002079075843089033","","","true"
"1","330.8840002634665","400.1730348123477","4.815134641050472","-0.3097440319777085","0.024169921875","0.01416015625","0.0341796875","1300","0.00010648557565413504","0","0.00010648557565413504","0.00010648557565413504","1_0:0.004062315622273882","1_0:660","true"
"2","271.9501455176158","329.18814528244036","4.609656217102","-0.3090875180776862","0.01123046875","0.01953125","0.0029296875","1300","0.00025440779065595825","0","0.00025440779065595825","0.00025440779065595825","2_1:0.006944846376344238","2_1:660","true"
"3","359.9884567591741","273.08982204228477","4.875544793836765","-0.30968652168552707","0.02783203125","0.01123046875","0.04443359375","1300","0.0002072569068531291","0","0.0002072569068531291","0.0002072569068531291","3_2:0.013783913632892497","3_2:660","true"
"4","260.9619722218869","237.8143411286274","4.818171606460125","-0.3103713081153928","0.016845703125","0.0126953125","0.02099609375","1300","0.0001279301912217803","0","0.0001279301912217803","0.0001279301912217803","4_15:0.01064412955116295;4_3:0.005140913963240401;4_5:0.0032767697043916133","4_15:660;4_3:660;4_5:660","true"
"5","225.67540407570323","456.675644589406","4.734147294809622","-0.3114518235315779","0.00537109375","0.00439453125","0.00634765625","1300","0.0001085240192518168","0","0.0001085240192518168","0.0001085240192518168","","","true"
"6","228.29512014782603","89.67699258749929","4.8762616534145815","-0.30918835047116894","0.011474609375","0.001953125","0.02099609375","1300","0.00012921372130902242","0","0.00012921372130902242","0.00012921372130902242","6_5:0.004948983603760504;6_7:0.02444816890941398","6_5:660;6_7:660","true"
"7","305.1706883653607","230.68943905924905","4.967506205068967","-0.30745739300983294","0.01708984375","0.01904296875","0.01513671875","1300","0.0008604419146665532","0","0.0008604419146665532","0.0008604419146665532","7_8:0.013229801698442123","7_8:660","true"
"8","299.2168460769973","242.83690892034505","4.902356609666396","-0.30837827664687645","0.0126953125","0.01123046875","0.01416015625","1300","0.00012207720531710054","0","0.00012207720531710054","0.00012207720531710054","8_9:0.010989020338065592","8_9:660","true"
"9","293.40214430133597","168.69987316780913","4.987236832359987","-0.3080310587566364","0.0087890625","0.005859375","0.01171875","1300","0.00014368883567127336","0","0.00014368883567127336","0.00014368883567127336","","","true"
